cycleId,launchOrder,pipelineLaneId,mode,graceSku,websiteSku,family,productGroupSlug,productGroupDisplayName,applicator,capacityMl,color,bestReferenceCandidatePath,absoluteReferencePath,expectedCanonicalFilename
cycle-04,4,grid-card-2000x2200,cap-on,GB-ELG-FRS-30ML-SPR-BLK,GBElgFrst30SpryBlk,Elegant,elegant-30ml-frosted-15-415-perfumespray,30 ml Frosted Elegant Bottle,Perfume Spray Pump,30,Frosted,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-30ml-perfume-spray-pump/cap-on/GB-ELG-FRS-30ML-SPR-BLK.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-30ml-perfume-spray-pump/cap-on/GB-ELG-FRS-30ML-SPR-BLK.png,GB-ELG-FRS-30ML-SPR-BLK__GBElgFrst30SpryBlk__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,LB-SLK-CLR-50ML-LPM-MGLD,LBSlk50LtnMtGl,Sleek,sleek-50ml-clear-18-415-lotionpump,50 ml Clear Sleek Lotion Pump Bottle,Lotion Pump,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-lotion-pump/cap-on/LB-SLK-CLR-50ML-LPM-MGLD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-lotion-pump/cap-on/LB-SLK-CLR-50ML-LPM-MGLD.png,LB-SLK-CLR-50ML-LPM-MGLD__LBSlk50LtnMtGl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CIR-CLR-30ML-GLD-T,GBCrcl30GlCap,Circle,circle-30ml-clear-15-415,30 ml Clear Circle Bottle with Cap,,30,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-30ml-unknown-applicator/cap-on/GB-CIR-CLR-30ML-GLD-T.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-30ml-unknown-applicator/cap-on/GB-CIR-CLR-30ML-GLD-T.png,GB-CIR-CLR-30ML-GLD-T__GBCrcl30GlCap__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,LB-SLM-CLR-50ML-LPM-SSLV,LBSlm50LtnShnSl,Slim,slim-50ml-clear-18-415-lotionpump,50 ml Clear Slim Lotion Pump Bottle,Lotion Pump,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-lotion-pump/cap-on/LB-SLM-CLR-50ML-LPM-SSLV.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/slim/slim-50ml-lotion-pump/cap-on/LB-SLM-CLR-50ML-LPM-SSLV.png,LB-SLM-CLR-50ML-LPM-SSLV__LBSlm50LtnShnSl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-RND-CLR-78ML-ASP-RED,GBRnd78AnSpRed,Round,round-78ml-clear-18-415-antiquespray,78 ml Clear Round Vintage Bulb Spray Bottle,Vintage Bulb Sprayer,78,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-vintage-bulb-sprayer/cap-on/GB-RND-CLR-78ML-ASP-RED.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/round/round-78ml-vintage-bulb-sprayer/cap-on/GB-RND-CLR-78ML-ASP-RED.png,GB-RND-CLR-78ML-ASP-RED__GBRnd78AnSpRed__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CYL-BLU-5ML-SPR-SGLD,GBCylBlu5SpryGlSh,Cylinder,cylinder-5ml-cobalt-blue-13-415-finemist,5 ml Cobalt Blue Cylinder Fine Mist Spray Bottle,Fine Mist Sprayer,5,Cobalt Blue,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-fine-mist-sprayer/cap-on/GB-CYL-BLU-5ML-SPR-SGLD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/cylinder/cylinder-5ml-fine-mist-sprayer/cap-on/GB-CYL-BLU-5ML-SPR-SGLD.png,GB-CYL-BLU-5ML-SPR-SGLD__GBCylBlu5SpryGlSh__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-DVA-CLR-46ML-SPR-CPR,GBDiva46SpryCu,Diva,diva-46ml-clear-18-415-perfumespray,46 ml Clear Diva Bottle,Perfume Spray Pump,46,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-46ml-perfume-spray-pump/cap-on/GB-DVA-CLR-46ML-SPR-CPR.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/diva/diva-46ml-perfume-spray-pump/cap-on/GB-DVA-CLR-46ML-SPR-CPR.png,GB-DVA-CLR-46ML-SPR-CPR__GBDiva46SpryCu__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-ELG-FRS-30ML-SPR-SSLV,GBElgFrst30SpryShSl,Elegant,elegant-30ml-frosted-15-415-perfumespray,30 ml Frosted Elegant Bottle,Perfume Spray Pump,30,Frosted,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-30ml-perfume-spray-pump/cap-on/GB-ELG-FRS-30ML-SPR-SSLV.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/elegant/elegant-30ml-perfume-spray-pump/cap-on/GB-ELG-FRS-30ML-SPR-SSLV.png,GB-ELG-FRS-30ML-SPR-SSLV__GBElgFrst30SpryShSl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,LB-SLK-CLR-50ML-LPM-SSLV,LBSlk50LtnShnSl,Sleek,sleek-50ml-clear-18-415-lotionpump,50 ml Clear Sleek Lotion Pump Bottle,Lotion Pump,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-lotion-pump/cap-on/LB-SLK-CLR-50ML-LPM-SSLV.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/sleek/sleek-50ml-lotion-pump/cap-on/LB-SLK-CLR-50ML-LPM-SSLV.png,LB-SLK-CLR-50ML-LPM-SSLV__LBSlk50LtnShnSl__pdp-main__v001.png
cycle-04,4,grid-card-2000x2200,cap-on,GB-CIR-CLR-50ML-AST-IVGD,GBCrcl50AnSpTslIvyGl,Circle,circle-50ml-clear-18-415-antiquespray-tassel,50 ml Clear Circle Vintage Bulb Spray Bottle with Tassel,Vintage Bulb Sprayer with Tassel,50,Clear,pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-50ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-50ML-AST-IVGD.png,/Users/jordanrichter/Projects/Clients/Nemat-International/Best-Bottles-Website-02-20-2026/pipeline/madison-hero-sync/renders/madison-masters-2080x2288-all-families-2026-05-08/circle/circle-50ml-vintage-bulb-sprayer-with-tassel/cap-on/GB-CIR-CLR-50ML-AST-IVGD.png,GB-CIR-CLR-50ML-AST-IVGD__GBCrcl50AnSpTslIvyGl__pdp-main__v001.png
